categorie,name,energieKcal,proteines,glucides,sucres,lipides,agSature,fibres,sel,CodeCIQUAL,ChangementClimatique,provenanceISO
SAUCES,Ketchup,99.0,1.27,21.4,20.8,0.19,0.069,1.15,2.59,11008,0.93694448,ES
SAUCES,Mayonnaise,727.0,1.36,2.62,1.03,75.2,7.27,0.32,1.39,11054,2.2135316,FR
SAUCES,Sauce barbecue,136.0,0.56,30.3,27.5,0.6,0.1,1.2,1.77,11100,0.98398258,FR
SAUCES,Sauce soja,45.5,7.08,3.64,1.32,0.1,0.0085,0.86,18.6,11104,0.98623686,BR
SAUCES,Sauce vinaigrette à l'huile d'olive,300.0,0.53,4.54,3.66,52.8,6.01,0.32,2.41,11110,2.0413881,FR
SAUCES,Harissa,76.0,2.72,7.3,0.0,2.9,0.47,5.1,2.81,11114,14.670624,TN
SAUCES,Sauce burger,463.0,1.06,13.3,10.3,33.8,3.11,0.48,2.13,11196,2.2135316,ES
SAUCES,Caviar de tomates,218.0,2.19,6.8,6.5,19.2,1.88,3.5,2.09,11215,,ES
SAUCES,Sauce soja sucrée,55.0,2.88,0.0,39.5,0.5,0.01,0.0,6.9,11216,,BR
SAUCES,Tzatziki,85.0,6.19,3.8,2.7,10.9,0.81,0.0,0.88,19863,,FR
SAUCES,Guacamole,182.0,2.18,5.85,2.65,16.5,3.95,5.65,1.38,25620,2.1929096,MX
SAUCES,Houmous,285.0,8.2,7.1,1.38,23.9,2.48,5.98,1.19,25621,0.9679808,FR
SAUCES,Caviar d'aubergine,76.0,0.71,4.3,1.85,21.0,0.65,2.93,1.36,25624,,ES
SAUCES,Sauce béchamel,144.0,2.56,6.2,3.1,7.4,4.61,1.3,0.69,11143,2.7590348,FR
SAUCES,Sauce bolognaise,100.0,4.22,7.27,4.74,4.81,1.78,2.29,1.18,11114,14.670624,FR
SAUCES,Sauce pesto,370.0,3.94,6.6,3.2,35.4,4.39,2.5,2.64,11179,2.8933688,ES
SAUCES,Sauce tomate aux petits LEGUMES,74.0,1.54,7.57,5.22,2.9,0.35,2.12,0.99,11207,1.0323948,ES
SUCRES,Miel,304.0,0.56,81.7,79.8,0.0,0.0,0.0,0.01,31008,1.1495103,FR
SUCRES,Sucre blanc,398.0,0.0,99.8,99.8,0.0,0.0,0.0,0.0054,31016,0.75362651,FR
SUCRES,Sucre roux,380.0,0.12,97.3,95.5,0.0,0.0,0.0,0.1,31017,1.061377,MX
SUCRES,Sirop d'érable,260.0,0.04,67.1,62.6,0.06,0.007,0.0,0.015,31034,,CA
SUCRES,Sirop d'agave,310.0,0.5,78.1,70.2,0.5,0.25,0.0,0.018,31089,,MX
SUCRES,Chocolat au lait,537.0,7.5,55.6,53.1,30.8,18.7,2.9,0.2,31079,17.574537,CI
SUCRES,Chocolat noir,500.0,6.63,42.9,38.3,33.8,22.5,12.0,0.023,31005,18.5841,CI
SUCRES,Chocolat blanc,539.0,6.16,57.1,56.0,34.2,21.3,1.0,0.22,31010,19.2675,CI
SUCRES,Confiture de fraise,251.0,0.5,60.5,60.1,0.5,0.11,0.7,0.018,31024,1.6271789,ES
SUCRES,Confiture d'abricot,247.0,0.5,59.7,56.8,0.3,0.041,1.1,0.013,31037,1.4200785,ES
SUCRES,Confiture de cerise,245.0,0.38,60.9,60.0,0.16,0.0,0.55,0.018,31038,1.9276299,ES
SUCRES,Marmelade d'orange,246.0,0.5,59.3,56.9,0.4,0.14,1.5,0.015,31039,1.3144162,ES
SUCRES,Confiture de framboise,246.0,0.47,61.0,59.5,0.21,0.0,0.95,0.013,31062,1.7345627,ES
SUCRES,Confiture de myrtilles,246.0,0.5,58.9,58.9,0.4,0.028,2.1,0.013,31068,1.6271789,ES
VEGETAL,Jambon végétale,242.0,29.7,4.13,0.93,11.1,0.89,3.2,1.62,1030,,BR
VEGETAL,Saucisse végétale au tofu,231.0,13.4,5.69,0.5,16.3,1.95,3.0,1.68,20337,,BR
VEGETAL,Quenelle au tofu,136.0,11.0,4.97,0.97,7.2,1.13,3.0,1.01,20338,,BR
VEGETAL,Saucisse végétale au blé ou seitan,250.0,27.1,7.53,1.74,10.5,2.79,4.6,1.82,25232,,FR
VEGETAL,Protéine de soja texturée,150.0,18.6,7.03,3.65,2.9,0.47,5.61,0.013,20591,,BR
VEGETAL,Tofu nature,148.0,13.4,2.87,0.57,8.5,1.35,0.5,0.025,20904,0.67685595,BR
VEGETAL,Tofu fumé,164.0,14.9,2.91,0.85,9.5,1.53,0.5,0.74,20912,0.67685596,BR
VEGETAL,Seitan,134.0,20.6,6.74,0.81,2.5,0.38,0.9,1.13,25598,,FR
VEGETAL,Dessert au soja,95.0,3.25,15.3,13.2,1.9,0.48,1.1,0.13,20921,,BR
VEGETAL,Fromage à tartiner végétal,175.0,11.7,1.05,0.0,13.1,1.87,0.5,1.15,1027,,FR
VEGETAL,Fromage râpé végétal,272.0,0.5,21.2,0.25,20.1,17.4,2.3,1.88,1029,,FR
VIANDES,Entrecôte de boeuf,198.0,25.5,0.1,0.0,10.7,4.75,0.0,0.15,6100,43.028967,FR
VIANDES,Faux-filet de boeuf,194.0,28.8,0.0,0.0,8.71,3.62,0.0,0.0,6105,42.727616,FR
VIANDES,Steack de boeuf,128.0,27.6,0.0,0.0,1.95,0.9,0.0,0.16,6200,42.727616,FR
VIANDES,Onglet de boeuf,171.0,23.0,0.0,0.0,8.8,0.0,0.0,0.0,6205,42.727616,FR
VIANDES,Steak haché de boeuf,210.0,26.1,0.0,0.0,11.8,4.63,0.0,0.17,6253,52.437532,FR
VIANDES,Côte de porc,211.0,29.6,0.0,0.0,10.3,4.11,0.0,0.14,28101,12.068112,FR
VIANDES,Filet mignon de porc,168.0,26.1,0.0,0.0,7.1,2.58,0.0,0.13,28203,11.879148,FR
VIANDES,Echine de porc,295.0,26.2,0.1,0.0,21.2,0.0,0.0,0.15,28451,11.879148,FR
VIANDES,Cuisse de poulet,171.0,24.8,0.0,0.0,8.03,2.2,0.0,0.26,36004,7.5848185,FR
VIANDES,Filet de poulet,141.0,30.1,0.0,0.0,2.0,0.58,0.0,0.14,36018,7.3080109,FR
VIANDES,Aile de poulet,247.0,23.8,0.0,0.0,16.9,4.98,0.0,0.25,36033,7.5848185,FR
VIANDES,Escalope de dinde,128.0,24.6,0.5,0.0,3.04,1.0,0.0,0.25,36306,7.3499765,FR
VIANDES,Côtelette d'agneau,240.0,25.7,0.0,0.0,15.2,6.52,0.0,0.31,21501,50.102618,FR
VIANDES,Gigot d'agneau,169.0,26.8,0.0,0.0,6.85,2.63,0.0,0.19,21503,62.692087,FR
VIANDES,Epaule d'agneau,252.0,30.5,0.1,0.0,14.5,5.26,0.0,0.24,21506,50.065402,FR
VIANDES,Lapin,167.0,20.5,0.5,0.0,9.2,3.42,0.0,0.16,34002,7.5848185,FR
VIANDES,Chapon,221.0,29.0,0.0,0.0,11.7,3.26,0.0,0.12,36051,7.559682,FR
VIANDES,Canard,331.0,19.0,0.0,0.0,28.4,9.67,0.0,0.15,36202,7.5848185,FR
VIANDES,Magret de canard,222.0,26.7,0.0,0.0,12.8,2.46,0.0,1.09,36205,7.3080109,FR
VIANDES,Coeur de boeuf,133.0,23.0,0.15,0.0,4.5,1.81,0.0,0.15,40052,26.789611,FR
VIANDES,Coeur de poulet,177.0,26.4,0.1,0.0,7.92,2.26,0.0,0.12,40054,1.563809,FR
VIANDES,Coeur de dinde,167.0,24.9,0.0,0.0,7.52,1.9,0.0,0.35,40055,1.563809,FR
VIANDES,Coeur d'agneau,179.0,25.0,1.93,0.0,7.91,3.14,0.0,0.16,40058,25.881414,FR
VIANDES,Foie de veau,121.0,19.0,4.47,0.0,3.02,0.98,0.0,0.2,40107,26.607947,FR
VIANDES,Foie de volaille,164.0,25.8,0.0,0.0,6.4,2.5,0.0,0.25,40108,1.563809,FR
VIANDES,Foie de porc,159.0,26.0,3.76,0.0,4.4,1.41,0.0,0.12,40113,2.6622392,FR
VIANDES,Foie de poulet,160.0,24.5,0.8,0.0,6.51,2.06,0.0,0.19,40116,2.2052922,FR
VIANDES,Foie de dinde,182.0,27.0,0.0,0.0,8.18,2.3,0.0,0.25,40118,2.2052922,FR
VIANDES,Langue de veau,237.0,21.0,0.0,0.0,17.0,4.83,0.0,0.16,40201,26.607947,FR
VIANDES,Langue de boeuf,235.0,23.7,0.0,0.0,15.6,6.05,0.0,0.21,40203,36.782495,FR
VIANDES,Rognon de boeuf,171.0,27.0,0.0,0.0,7.0,1.29,0.0,0.24,40402,26.789611,FR
VIANDES,Rognon de porc,144.0,25.4,0.0,0.0,4.7,1.51,0.0,0.2,40404,1.8971747,FR
VIANDES,Rognon d'agneau,127.0,23.7,0.0,0.0,3.62,1.23,0.0,0.38,40407,25.881414,FR
VIANDES,Rognon de veau,167.0,26.0,0.0,0.0,7.0,2.14,0.0,0.28,40409,19.366768,FR
VIANDES,Gésier de canard,149.0,32.4,0.0,0.2,2.1,0.7,1.0,1.92,40701,,FR
VIANDES,Jambon,125.0,20.8,0.81,0.77,4.28,1.58,0.15,1.79,28900,6.3428262,FR
VIANDES,Dés de jambon,121.0,17.9,2.08,1.69,4.46,1.81,0.36,2.06,28922,6.3428262,FR
VIANDES,Jambon de poulet,106.0,20.7,1.39,1.13,1.79,0.54,0.53,1.86,28963,5.4735318,FR
VIANDES,Jambon de dinde,104.0,20.9,1.29,1.08,1.67,0.54,0.39,1.9,28964,5.4735318,FR
VIANDES,Jambon cru,225.0,25.9,0.76,0.75,13.2,5.09,0.0,5.67,28800,12.647964,FR
VIANDES,Coppa,284.0,25.0,1.0,0.5,20.0,6.83,0.0,4.5,28850,15.909519,IT
VIANDES,Pancetta,342.0,20.2,0.75,0.43,28.8,12.5,0.0,4.14,28858,15.909519,IT
VIANDES,Saucisson sec,418.0,24.2,2.41,1.2,34.5,11.3,0.73,4.75,30300,5.3989777,FR
VIANDES,Rosette,380.0,24.2,1.79,1.46,30.7,11.8,0.0,4.56,30304,5.3989777,FR
VIANDES,Chipolata,282.0,18.8,0.8,0.4,22.4,8.27,0.0,2.15,30115,8.5147035,FR
VIANDES,Saucisse de Toulouse,274.0,18.8,0.0,0.0,22.1,8.2,0.0,1.71,30110,15.991672,FR
VIANDES,Chair à saucisse,323.0,14.7,0.6,0.0,29.1,0.0,0.0,1.39,30050,8.0924878,FR
VIANDES,Saucisse de Morteau,397.0,16.0,1.0,0.5,36.6,0.0,0.0,2.6,30104,7.2590279,FR
VIANDES,Saucisse de Montbéliard,319.0,17.3,1.0,0.75,27.3,10.5,0.0,2.33,30105,7.2590279,FR
VIANDES,Knackis,236.0,14.0,1.82,1.01,18.9,5.34,0.0,1.87,30746,14.722782,FR
